"Toutes les combinaisons (D, B, h, theta) avec verdicts",,,,,,,,,,,,,,,
f = 1219 px  |  HFOV = 76.4 deg  |  VFOV = 47.8 deg  |  Bras = 43 cm,,,,,,,,,,,,,,,
D (cm),B (cm),h (cm),theta (deg),Enclos (cm),Marge bras (cm),x_near (cm),x_far (cm),Bras visible,Robot visible,DeltaZ centre (mm),DeltaZ robot (mm),B/Z centre,Err. rel. (%),Couverture (cm),VERDICT
55,8,28,36,62,12,16.2,130.6,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,28,38,62,12,15,111.4,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,28,40,62,12,13.7,97,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,28,42,62,12,12.5,85.6,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,28,44,62,12,11.4,76.5,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,28,46,62,12,10.2,68.9,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,28,48,62,12,9.2,62.6,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,28,50,62,12,8.1,57.1,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,30,36,62,12,17.4,139.9,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,30,38,62,12,16,119.4,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,30,40,62,12,14.7,103.9,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,30,42,62,12,13.4,91.8,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,30,44,62,12,12.2,82,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,30,46,62,12,11,73.9,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,30,48,62,12,9.8,67,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,30,50,62,12,8.7,61.2,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,33,36,62,12,19.1,153.9,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,38,62,12,17.6,131.3,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,40,62,12,16.2,114.3,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,42,62,12,14.8,100.9,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,44,62,12,13.4,90.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,46,62,12,12.1,81.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,33,48,62,12,10.8,73.8,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,33,50,62,12,9.5,67.3,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,35,36,62,12,20.3,163.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,38,62,12,18.7,139.3,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,40,62,12,17.2,121.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,42,62,12,15.7,107,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,44,62,12,14.2,95.6,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,46,62,12,12.8,86.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,35,48,62,12,11.4,78.2,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,35,50,62,12,10.1,71.4,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,37,36,62,12,21.5,172.5,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,38,62,12,19.8,147.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,40,62,12,18.1,128.1,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,42,62,12,16.6,113.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,44,62,12,15,101.1,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,46,62,12,13.5,91.1,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,48,62,12,12.1,82.7,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,37,50,62,12,10.7,75.5,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,8,40,36,62,12,23.2,186.5,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,38,62,12,21.4,159.2,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,40,62,12,19.6,138.5,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,42,62,12,17.9,122.3,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,44,62,12,16.2,109.3,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,46,62,12,14.6,98.5,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,48,62,12,13.1,89.4,NON,OUI,0.78,3.1,1/3,0.28,86.6,
55,8,40,50,62,12,11.5,81.6,OUI,OUI,0.78,3.1,1/3,0.28,86.6,OK
55,10,28,36,62,12,16.2,130.6,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,28,38,62,12,15,111.4,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,28,40,62,12,13.7,97,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,28,42,62,12,12.5,85.6,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,28,44,62,12,11.4,76.5,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,28,46,62,12,10.2,68.9,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,28,48,62,12,9.2,62.6,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,28,50,62,12,8.1,57.1,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,30,36,62,12,17.4,139.9,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,30,38,62,12,16,119.4,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,30,40,62,12,14.7,103.9,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,30,42,62,12,13.4,91.8,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,30,44,62,12,12.2,82,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,30,46,62,12,11,73.9,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,30,48,62,12,9.8,67,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,30,50,62,12,8.7,61.2,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,33,36,62,12,19.1,153.9,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,38,62,12,17.6,131.3,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,40,62,12,16.2,114.3,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,42,62,12,14.8,100.9,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,44,62,12,13.4,90.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,46,62,12,12.1,81.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,33,48,62,12,10.8,73.8,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,33,50,62,12,9.5,67.3,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,35,36,62,12,20.3,163.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,38,62,12,18.7,139.3,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,40,62,12,17.2,121.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,42,62,12,15.7,107,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,44,62,12,14.2,95.6,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,46,62,12,12.8,86.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,35,48,62,12,11.4,78.2,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,35,50,62,12,10.1,71.4,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,37,36,62,12,21.5,172.5,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,38,62,12,19.8,147.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,40,62,12,18.1,128.1,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,42,62,12,16.6,113.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,44,62,12,15,101.1,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,46,62,12,13.5,91.1,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,48,62,12,12.1,82.7,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,37,50,62,12,10.7,75.5,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,10,40,36,62,12,23.2,186.5,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,38,62,12,21.4,159.2,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,40,62,12,19.6,138.5,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,42,62,12,17.9,122.3,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,44,62,12,16.2,109.3,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,46,62,12,14.6,98.5,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,48,62,12,13.1,89.4,NON,OUI,0.62,2.48,1/3,0.23,86.6,
55,10,40,50,62,12,11.5,81.6,OUI,OUI,0.62,2.48,1/3,0.23,86.6,OK
55,12,28,36,62,12,16.2,130.6,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,28,38,62,12,15,111.4,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,28,40,62,12,13.7,97,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,28,42,62,12,12.5,85.6,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,28,44,62,12,11.4,76.5,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,28,46,62,12,10.2,68.9,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,28,48,62,12,9.2,62.6,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,28,50,62,12,8.1,57.1,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,30,36,62,12,17.4,139.9,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,30,38,62,12,16,119.4,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,30,40,62,12,14.7,103.9,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,30,42,62,12,13.4,91.8,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,30,44,62,12,12.2,82,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,30,46,62,12,11,73.9,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,30,48,62,12,9.8,67,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,30,50,62,12,8.7,61.2,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,33,36,62,12,19.1,153.9,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,38,62,12,17.6,131.3,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,40,62,12,16.2,114.3,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,42,62,12,14.8,100.9,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,44,62,12,13.4,90.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,46,62,12,12.1,81.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,33,48,62,12,10.8,73.8,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,33,50,62,12,9.5,67.3,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,35,36,62,12,20.3,163.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,38,62,12,18.7,139.3,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,40,62,12,17.2,121.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,42,62,12,15.7,107,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,44,62,12,14.2,95.6,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,46,62,12,12.8,86.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,35,48,62,12,11.4,78.2,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,35,50,62,12,10.1,71.4,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,37,36,62,12,21.5,172.5,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,38,62,12,19.8,147.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,40,62,12,18.1,128.1,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,42,62,12,16.6,113.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,44,62,12,15,101.1,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,46,62,12,13.5,91.1,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,48,62,12,12.1,82.7,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,37,50,62,12,10.7,75.5,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,12,40,36,62,12,23.2,186.5,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,38,62,12,21.4,159.2,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,40,62,12,19.6,138.5,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,42,62,12,17.9,122.3,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,44,62,12,16.2,109.3,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,46,62,12,14.6,98.5,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,48,62,12,13.1,89.4,NON,OUI,0.52,2.07,1/2,0.19,86.6,
55,12,40,50,62,12,11.5,81.6,OUI,OUI,0.52,2.07,1/2,0.19,86.6,OK
55,15,28,36,62,12,16.2,130.6,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,28,38,62,12,15,111.4,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,28,40,62,12,13.7,97,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,28,42,62,12,12.5,85.6,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,28,44,62,12,11.4,76.5,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,28,46,62,12,10.2,68.9,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,28,48,62,12,9.2,62.6,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,28,50,62,12,8.1,57.1,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,30,36,62,12,17.4,139.9,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,30,38,62,12,16,119.4,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,30,40,62,12,14.7,103.9,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,30,42,62,12,13.4,91.8,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,30,44,62,12,12.2,82,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,30,46,62,12,11,73.9,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,30,48,62,12,9.8,67,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,30,50,62,12,8.7,61.2,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,33,36,62,12,19.1,153.9,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,38,62,12,17.6,131.3,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,40,62,12,16.2,114.3,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,42,62,12,14.8,100.9,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,44,62,12,13.4,90.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,46,62,12,12.1,81.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,33,48,62,12,10.8,73.8,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,33,50,62,12,9.5,67.3,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,35,36,62,12,20.3,163.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,38,62,12,18.7,139.3,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,40,62,12,17.2,121.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,42,62,12,15.7,107,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,44,62,12,14.2,95.6,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,46,62,12,12.8,86.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,35,48,62,12,11.4,78.2,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,35,50,62,12,10.1,71.4,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,37,36,62,12,21.5,172.5,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,38,62,12,19.8,147.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,40,62,12,18.1,128.1,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,42,62,12,16.6,113.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,44,62,12,15,101.1,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,46,62,12,13.5,91.1,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,48,62,12,12.1,82.7,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,37,50,62,12,10.7,75.5,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
55,15,40,36,62,12,23.2,186.5,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,38,62,12,21.4,159.2,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,40,62,12,19.6,138.5,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,42,62,12,17.9,122.3,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,44,62,12,16.2,109.3,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,46,62,12,14.6,98.5,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,48,62,12,13.1,89.4,NON,OUI,0.41,1.65,1/2,0.15,86.6,
55,15,40,50,62,12,11.5,81.6,OUI,OUI,0.41,1.65,1/2,0.15,86.6,OK
58,8,28,36,65,15,16.2,130.6,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,28,38,65,15,15,111.4,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,40,65,15,13.7,97,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,42,65,15,12.5,85.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,44,65,15,11.4,76.5,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,46,65,15,10.2,68.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,48,65,15,9.2,62.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,28,50,65,15,8.1,57.1,OUI,NON,0.86,3.45,1/4,0.3,91.3,
58,8,30,36,65,15,17.4,139.9,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,30,38,65,15,16,119.4,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,30,40,65,15,14.7,103.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,42,65,15,13.4,91.8,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,44,65,15,12.2,82,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,46,65,15,11,73.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,48,65,15,9.8,67,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,50,65,15,8.7,61.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,36,65,15,19.1,153.9,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,38,65,15,17.6,131.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,40,65,15,16.2,114.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,42,65,15,14.8,100.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,44,65,15,13.4,90.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,46,65,15,12.1,81.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,48,65,15,10.8,73.8,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,50,65,15,9.5,67.3,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,36,65,15,20.3,163.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,38,65,15,18.7,139.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,40,65,15,17.2,121.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,42,65,15,15.7,107,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,44,65,15,14.2,95.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,46,65,15,12.8,86.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,48,65,15,11.4,78.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,50,65,15,10.1,71.4,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,36,65,15,21.5,172.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,38,65,15,19.8,147.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,40,65,15,18.1,128.1,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,42,65,15,16.6,113.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,44,65,15,15,101.1,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,46,65,15,13.5,91.1,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,48,65,15,12.1,82.7,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,50,65,15,10.7,75.5,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,36,65,15,23.2,186.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,38,65,15,21.4,159.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,40,65,15,19.6,138.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,42,65,15,17.9,122.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,44,65,15,16.2,109.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,40,46,65,15,14.6,98.5,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,48,65,15,13.1,89.4,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,40,50,65,15,11.5,81.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
